#{"t_start": 1775181829.0756, "env_id": "None"}
r,l,t,success,task_phase
-216.76643,251,0.031293,False,TOUCHDOWN
-78.641128,118,0.045148,False,TOUCHDOWN
-116.361077,189,0.067018,False,TOUCHDOWN
-700.143854,600,0.136466,False,APPROACH
-454.326977,409,0.183411,False,TOUCHDOWN
-58.893978,101,0.19515,False,TOUCHDOWN
-503.355355,474,0.463406,False,TOUCHDOWN
-896.426858,600,0.530971,False,APPROACH
-758.282724,600,0.598517,False,APPROACH
-782.328975,600,0.665905,False,APPROACH
-801.011326,600,0.9549,False,APPROACH
-19.907378,105,0.967345,False,TOUCHDOWN
-779.917019,600,1.036124,False,APPROACH
-912.733805,600,1.15535,False,APPROACH
-251.068642,366,1.413561,False,TOUCHDOWN
-217.730311,367,1.456079,False,TOUCHDOWN
-208.628691,235,1.483247,False,TOUCHDOWN
-215.59603,271,1.514611,False,TOUCHDOWN
-381.687218,443,1.565577,False,TOUCHDOWN
-27.160559,84,1.575455,False,TOUCHDOWN
-23.447946,83,1.585082,False,TOUCHDOWN
-631.981474,600,1.870895,False,APPROACH
-56.224141,118,1.884861,False,TOUCHDOWN
-111.092878,150,1.902093,False,TOUCHDOWN
-190.82926,252,1.930859,False,TOUCHDOWN
6.598951,76,1.939636,False,TOUCHDOWN
-26.33918,80,1.948826,False,TOUCHDOWN
-51.548879,122,1.962806,False,TOUCHDOWN
-93.473653,139,1.978748,False,TOUCHDOWN
-261.727009,357,2.019589,False,TOUCHDOWN
-188.572145,242,2.048375,False,TOUCHDOWN
-27.231719,76,2.05746,False,TOUCHDOWN
-188.366457,260,2.087961,False,TOUCHDOWN
-47.601814,92,2.314303,False,TOUCHDOWN
-155.725222,268,2.345238,False,TOUCHDOWN
-46.838624,107,2.357694,False,TOUCHDOWN
-73.155137,101,2.369388,False,TOUCHDOWN
-39.924441,100,2.380975,False,TOUCHDOWN
-16.380518,87,2.391031,False,TOUCHDOWN
-47.679188,97,2.402201,False,TOUCHDOWN
-507.928975,517,2.461746,False,TOUCHDOWN
-21.219096,85,2.471978,False,TOUCHDOWN
-23.270657,93,2.482995,False,TOUCHDOWN
-120.658563,196,2.505914,False,TOUCHDOWN
-57.124959,117,2.519779,False,TOUCHDOWN
-29.631771,88,2.530143,False,TOUCHDOWN
-42.254446,123,2.544572,False,TOUCHDOWN
-42.907692,107,2.772719,False,TOUCHDOWN
-17.678843,73,2.781356,False,TOUCHDOWN
-20.932473,80,2.790685,False,TOUCHDOWN
-36.958342,89,2.801049,False,TOUCHDOWN
-35.659195,104,2.813143,False,TOUCHDOWN
-53.214717,111,2.826029,False,TOUCHDOWN
-26.500513,79,2.835198,False,TOUCHDOWN
-27.039258,77,2.844212,False,TOUCHDOWN
-43.150724,108,2.856726,False,TOUCHDOWN
-26.254574,81,2.866169,False,TOUCHDOWN
-12.931096,78,2.875238,False,TOUCHDOWN
-31.23984,86,2.885255,False,TOUCHDOWN
-50.845322,95,2.896282,False,TOUCHDOWN
-45.226845,81,2.905731,False,TOUCHDOWN
-36.779423,82,2.915244,False,TOUCHDOWN
-73.371018,137,2.931106,False,TOUCHDOWN
-6.343304,79,2.940297,False,TOUCHDOWN
-17.644305,80,2.949622,False,TOUCHDOWN
-33.024314,84,2.959391,False,TOUCHDOWN
-68.340119,121,2.973439,False,TOUCHDOWN
-64.204002,111,2.986358,False,TOUCHDOWN
-39.056902,86,2.996365,False,TOUCHDOWN
-15.290984,75,3.222498,False,TOUCHDOWN
-15.867638,77,3.231332,False,TOUCHDOWN
-48.34042,122,3.245658,False,TOUCHDOWN
-6.450285,78,3.254778,False,TOUCHDOWN
-19.55177,90,3.265265,False,TOUCHDOWN
-7.554556,70,3.273456,False,TOUCHDOWN
-25.963025,141,3.290006,False,TOUCHDOWN
-33.689278,82,3.299537,False,TOUCHDOWN
-36.183407,95,3.31057,False,TOUCHDOWN
-31.644877,79,3.319734,False,TOUCHDOWN
2.268467,75,3.328458,False,TOUCHDOWN
