#{"t_start": 1775181731.586944, "env_id": "None"}
r,l,t,success,task_phase
-97.284025,131,0.482679,False,TAKEOFF_ROLL
-146.316411,259,0.513396,False,TAKEOFF_ROLL
-45.338228,66,0.521444,False,TAKEOFF_ROLL
-233.772923,391,0.567572,False,TAKEOFF_ROLL
-170.881082,247,0.596012,False,TAKEOFF_ROLL
-73.720686,89,0.606399,False,TAKEOFF_ROLL
-65.023947,91,0.616959,False,TAKEOFF_ROLL
-210.488347,302,0.652103,False,TAKEOFF_ROLL
-161.307184,235,0.680147,False,TAKEOFF_ROLL
-116.544138,176,0.701057,False,TAKEOFF_ROLL
-33.090685,46,0.706583,False,TAKEOFF_ROLL
-185.32718,295,1.011719,False,TAKEOFF_ROLL
-68.214067,155,1.037325,False,TAKEOFF_ROLL
-104.323012,189,1.064476,False,TAKEOFF_ROLL
-117.560397,233,1.09388,False,TAKEOFF_ROLL
-39.188086,53,1.100318,False,TAKEOFF_ROLL
-93.106737,140,1.117551,False,TAKEOFF_ROLL
-66.295474,143,1.135763,False,TAKEOFF_ROLL
-148.643339,211,1.161895,False,TAKEOFF_ROLL
-62.705873,107,1.174172,False,TAKEOFF_ROLL
-61.762836,112,1.187524,False,TAKEOFF_ROLL
-87.603279,214,1.213923,False,TAKEOFF_ROLL
-95.388188,121,1.228692,False,TAKEOFF_ROLL
-58.97043,74,1.237611,False,TAKEOFF_ROLL
-38.130712,63,1.483577,False,TAKEOFF_ROLL
-91.943913,209,1.509368,False,TAKEOFF_ROLL
-58.27069,161,1.529461,False,TAKEOFF_ROLL
-58.492348,113,1.544693,False,ROTATE
-95.115084,178,1.56637,False,TAKEOFF_ROLL
-86.57497,125,1.58176,False,TAKEOFF_ROLL
-56.115424,82,1.601027,False,TAKEOFF_ROLL
-54.332054,118,1.619031,False,TAKEOFF_ROLL
-45.245792,59,1.645945,False,TAKEOFF_ROLL
-227.507975,400,1.694238,False,TAKEOFF_ROLL
-77.218857,135,1.712323,False,TAKEOFF_ROLL
-47.041786,162,1.732825,False,TAKEOFF_ROLL
-57.907822,103,1.745769,False,TAKEOFF_ROLL
-47.188376,109,1.75871,False,TAKEOFF_ROLL
-60.639352,290,2.027032,False,TAKEOFF_ROLL
-36.716572,127,2.042307,False,TAKEOFF_ROLL
-48.236144,81,2.05171,False,TAKEOFF_ROLL
-61.634141,104,2.063917,False,TAKEOFF_ROLL
-133.653248,369,2.10741,False,TAKEOFF_ROLL
-48.427016,77,2.11713,False,TAKEOFF_ROLL
-44.36333,55,2.126154,False,TAKEOFF_ROLL
-58.401858,81,2.135695,False,TAKEOFF_ROLL
-58.269666,150,2.154181,False,TAKEOFF_ROLL
-38.468409,85,2.164391,False,TAKEOFF_ROLL
-44.348594,178,2.18527,False,TAKEOFF_ROLL
-79.641412,183,2.206417,False,TAKEOFF_ROLL
-38.027204,54,2.21327,False,TAKEOFF_ROLL
-96.623048,273,2.472883,False,TAKEOFF_ROLL
-37.124447,158,2.492092,False,INITIAL_CLIMB
-45.00457,110,2.505552,False,TAKEOFF_ROLL
-50.247176,154,2.524038,False,TAKEOFF_ROLL
-45.525337,290,2.573037,False,TAKEOFF_ROLL
-37.772489,148,2.591168,False,TAKEOFF_ROLL
-38.094692,280,2.623473,False,TAKEOFF_ROLL
-43.792217,106,2.636218,False,TAKEOFF_ROLL
-46.272669,90,2.646803,False,TAKEOFF_ROLL
-39.932343,89,2.656958,False,TAKEOFF_ROLL
-35.892792,96,2.668356,False,TAKEOFF_ROLL
-45.593808,160,2.686802,False,TAKEOFF_ROLL
-21.837465,136,2.702143,False,INITIAL_CLIMB
-38.117526,120,2.716171,False,TAKEOFF_ROLL
-60.547724,141,2.958072,False,ROTATE
-66.534317,99,2.970218,False,TAKEOFF_ROLL
-44.504024,63,2.978479,False,TAKEOFF_ROLL
-43.408349,126,3.006799,False,TAKEOFF_ROLL
-65.838227,176,3.02738,False,TAKEOFF_ROLL
-53.761832,72,3.035768,False,TAKEOFF_ROLL
