#{"t_start": 1775182755.021751, "env_id": "None"}
r,l,t,success,task_phase
-69.771055,500,1.428773,False,ENROUTE
-223.133426,500,3.13979,False,ENROUTE
-469.779366,500,4.790996,False,ENROUTE
-248.024969,500,6.545036,False,ENROUTE
-276.310449,500,8.266707,False,ENROUTE
-99.95977,500,9.963712,False,ENROUTE
-75.335273,500,11.669974,False,ENROUTE
-81.366769,500,13.346082,False,ENROUTE
-70.361452,500,15.047167,False,ENROUTE
-86.036851,500,16.72926,False,ENROUTE
-41.787692,500,18.48193,False,ENROUTE
-35.496407,500,20.409102,False,ENROUTE
-60.12802,500,22.081513,False,ENROUTE
-60.171744,500,23.747288,False,ENROUTE
-55.968559,500,25.406837,False,ENROUTE
-76.606746,500,27.088755,False,ENROUTE
-62.626366,500,28.880916,False,ENROUTE
-4.202184,500,30.740662,False,ENROUTE
46.472382,500,32.442465,False,ENROUTE
7.67567,500,34.132154,False,ENROUTE
191.860911,500,35.785609,False,ENROUTE
60.580278,500,37.440936,False,ENROUTE
87.185501,500,39.095807,False,ENROUTE
184.953584,500,40.751133,False,ENROUTE
85.247122,500,42.405128,False,ENROUTE
113.062373,500,44.061707,False,ENROUTE
136.027398,500,45.713249,False,ENROUTE
88.230125,500,47.366654,False,ENROUTE
8.302282,500,49.024296,False,ENROUTE
-26.901662,500,50.737727,False,ENROUTE
37.523606,500,52.438117,False,ENROUTE
148.64307,500,54.090496,False,ENROUTE
62.60335,500,55.813785,False,ENROUTE
43.825391,500,57.466159,False,ENROUTE
-2.0157,500,59.119429,False,ENROUTE
48.057022,500,60.779449,False,ENROUTE
32.477735,500,62.447369,False,ENROUTE
23.644001,500,64.101413,False,ENROUTE
4.740386,500,65.792052,False,ENROUTE
27.822744,500,67.522324,False,ENROUTE
-15.470921,500,69.464337,False,ENROUTE
19.168421,500,71.130809,False,ENROUTE
44.926989,500,72.786835,False,ENROUTE
49.918379,500,74.435316,False,ENROUTE
-10.526818,500,76.081921,False,ENROUTE
94.708558,500,78.026259,False,ENROUTE
81.02525,161,78.641598,True,MISSION_COMPLETE
83.769522,152,79.248327,True,MISSION_COMPLETE
85.726059,162,79.906568,True,MISSION_COMPLETE
96.637397,500,81.716877,False,ENROUTE
83.288297,500,83.460026,False,ENROUTE
84.336223,167,84.042237,True,MISSION_COMPLETE
90.860959,217,84.91765,True,MISSION_COMPLETE
85.020738,213,85.75267,True,MISSION_COMPLETE
83.652314,206,86.557851,True,MISSION_COMPLETE
102.229929,500,88.258938,False,ENROUTE
19.06269,500,89.979227,False,ENROUTE
51.949265,500,91.92645,False,ENROUTE
4.787489,500,93.861568,False,ENROUTE
14.502844,500,95.647337,False,ENROUTE
13.046562,500,97.611557,False,ENROUTE
0.342819,500,99.34519,False,ENROUTE
8.961173,500,101.012338,False,ENROUTE
64.360103,500,102.663737,False,ENROUTE
30.157565,500,104.31803,False,ENROUTE
87.293801,500,105.972951,False,ENROUTE
69.863047,195,106.634179,True,MISSION_COMPLETE
82.920355,500,108.289177,False,ENROUTE
72.825541,227,109.041785,True,MISSION_COMPLETE
67.610337,199,109.764738,True,MISSION_COMPLETE
102.58943,332,110.876613,True,MISSION_COMPLETE
80.10098,207,111.560281,True,MISSION_COMPLETE
74.114959,177,112.145177,True,MISSION_COMPLETE
71.478515,148,112.635411,True,MISSION_COMPLETE
73.06034,160,113.166237,True,MISSION_COMPLETE
77.156896,147,113.65484,True,MISSION_COMPLETE
79.124372,143,114.129579,True,MISSION_COMPLETE
78.446917,154,114.641001,True,MISSION_COMPLETE
78.722794,149,115.135757,True,MISSION_COMPLETE
73.677092,150,115.632447,True,MISSION_COMPLETE
79.137125,150,116.130706,True,MISSION_COMPLETE
81.513837,158,116.655107,True,MISSION_COMPLETE
79.735449,148,117.145533,True,MISSION_COMPLETE
92.680081,500,118.801386,False,ENROUTE
97.599352,500,120.536514,False,ENROUTE
121.907403,500,122.190376,False,ENROUTE
82.467657,178,122.781552,True,MISSION_COMPLETE
86.548587,187,123.401344,True,MISSION_COMPLETE
85.786453,171,123.968881,True,MISSION_COMPLETE
83.228264,166,124.519532,True,MISSION_COMPLETE
86.803312,166,125.070249,True,MISSION_COMPLETE
87.794411,155,125.585004,True,MISSION_COMPLETE
88.099121,154,126.097471,True,MISSION_COMPLETE
88.151273,157,126.618212,True,MISSION_COMPLETE
87.828408,157,127.139536,True,MISSION_COMPLETE
87.449426,156,127.657549,True,MISSION_COMPLETE
88.876283,153,128.224503,True,MISSION_COMPLETE
