#{"t_start": 1775183766.833431, "env_id": "None"}
r,l,t,success,task_phase
-536.997518,562,1.747348,False,TOUCHDOWN
-23.93058,101,2.105491,False,TOUCHDOWN
-191.400049,251,2.972774,False,TOUCHDOWN
-483.045203,600,5.0987,False,APPROACH
-721.491235,600,7.270172,False,APPROACH
-27.336493,100,7.685972,False,TOUCHDOWN
-494.137791,600,9.968887,False,APPROACH
-60.64041,211,10.699519,False,TOUCHDOWN
-87.040621,170,11.283147,False,TOUCHDOWN
-15.981267,94,11.628126,False,TOUCHDOWN
-417.120753,562,13.609467,False,TOUCHDOWN
-716.485223,600,15.736393,False,APPROACH
-83.754216,178,16.357092,False,TOUCHDOWN
-654.743947,600,18.576561,False,FINAL
-56.388527,180,19.198953,False,TOUCHDOWN
-760.470118,600,21.360821,False,APPROACH
-41.055758,118,21.800062,False,TOUCHDOWN
-0.903863,139,22.33015,False,TOUCHDOWN
5.854943,97,22.790091,False,TOUCHDOWN
-19.897366,77,23.087072,False,TOUCHDOWN
-16.831493,173,23.719498,False,TOUCHDOWN
-6.442496,76,23.983121,False,TOUCHDOWN
-19.385562,108,24.374953,False,TOUCHDOWN
-202.786173,229,25.168302,False,TOUCHDOWN
-44.166617,107,25.537742,False,TOUCHDOWN
-141.131874,192,26.245575,False,TOUCHDOWN
-31.364518,81,26.526661,False,TOUCHDOWN
-1.701454,84,26.818107,False,TOUCHDOWN
-36.50226,123,27.264319,False,TOUCHDOWN
-10.617648,97,27.636964,False,TOUCHDOWN
-32.719157,161,28.199536,False,TOUCHDOWN
-66.560257,166,28.810185,False,TOUCHDOWN
-13.911345,105,29.215562,False,TOUCHDOWN
0.856125,71,29.54355,False,TOUCHDOWN
-12.385793,69,29.823148,False,TOUCHDOWN
-18.159688,70,30.067112,False,TOUCHDOWN
-17.046151,71,30.315384,False,TOUCHDOWN
-16.219533,74,30.571673,False,TOUCHDOWN
-3.93543,70,30.814937,False,TOUCHDOWN
-8.950517,74,31.072059,False,TOUCHDOWN
-29.718564,97,31.455648,False,TOUCHDOWN
-4.119303,71,31.735547,False,TOUCHDOWN
-7.74843,68,31.998247,False,TOUCHDOWN
-4.354861,70,32.268962,False,TOUCHDOWN
-14.677691,69,32.518117,False,TOUCHDOWN
-15.694367,66,32.748572,False,TOUCHDOWN
-24.710775,65,32.975237,False,TOUCHDOWN
-3.667098,69,33.246624,False,TOUCHDOWN
-22.31294,69,33.517749,False,TOUCHDOWN
-6.713047,67,33.76589,False,TOUCHDOWN
-16.940401,66,33.996454,False,TOUCHDOWN
-5.630475,72,34.246722,False,TOUCHDOWN
-11.765589,64,34.469779,False,TOUCHDOWN
-20.832218,65,34.759353,False,TOUCHDOWN
-19.791698,67,35.019989,False,TOUCHDOWN
1.217114,68,35.259157,False,TOUCHDOWN
-8.866385,68,35.495686,False,TOUCHDOWN
-10.180724,65,35.722588,False,TOUCHDOWN
-7.556715,64,35.975172,False,TOUCHDOWN
-17.678156,63,36.228651,False,TOUCHDOWN
-9.164061,65,36.480638,False,TOUCHDOWN
0.438891,63,36.708256,False,TOUCHDOWN
-6.711638,64,36.931718,False,TOUCHDOWN
-19.237547,63,37.15134,False,TOUCHDOWN
-13.426075,64,37.374851,False,TOUCHDOWN
-18.908904,63,37.595987,False,TOUCHDOWN
-7.067769,64,37.818673,False,TOUCHDOWN
-2.348229,63,38.039859,False,TOUCHDOWN
-8.035851,62,38.257922,False,TOUCHDOWN
-17.349645,62,38.476352,False,TOUCHDOWN
-5.295488,63,38.697694,False,TOUCHDOWN
-10.33012,63,38.917594,False,TOUCHDOWN
-1.854089,62,39.132914,False,TOUCHDOWN
-11.734413,62,39.348396,False,TOUCHDOWN
-0.263821,61,39.560718,False,TOUCHDOWN
-15.229929,64,39.783595,False,TOUCHDOWN
-5.345084,62,39.9962,False,TOUCHDOWN
-4.050524,62,40.213687,False,TOUCHDOWN
-2.875237,61,40.426882,False,TOUCHDOWN
-2.82006,61,40.638759,False,TOUCHDOWN
-16.837834,62,40.85452,False,TOUCHDOWN
-19.439354,60,41.062642,False,TOUCHDOWN
-5.343718,63,41.281897,False,TOUCHDOWN
-4.820125,60,41.490755,False,TOUCHDOWN
-7.023986,62,41.707448,False,TOUCHDOWN
-6.558611,62,41.951374,False,TOUCHDOWN
-16.817275,61,42.173709,False,TOUCHDOWN
-9.250722,62,42.389414,False,TOUCHDOWN
-6.873332,62,42.604968,False,TOUCHDOWN
-24.789291,61,42.860235,False,TOUCHDOWN
-25.304929,62,43.175817,False,TOUCHDOWN
-17.537695,60,43.416167,False,TOUCHDOWN
-16.311513,61,43.646971,False,TOUCHDOWN
-22.75598,61,43.859653,False,TOUCHDOWN
-18.36173,61,44.070183,False,TOUCHDOWN
-5.384845,60,44.278038,False,TOUCHDOWN
-23.433601,62,44.494062,False,TOUCHDOWN
-22.322646,60,44.703574,False,TOUCHDOWN
-21.788407,60,44.91266,False,TOUCHDOWN
-21.584084,61,45.128455,False,TOUCHDOWN
-23.022818,61,45.34728,False,TOUCHDOWN
-24.763899,60,45.55787,False,TOUCHDOWN
-19.961422,60,45.77891,False,TOUCHDOWN
-24.375435,60,45.990157,False,TOUCHDOWN
-25.237341,61,46.206521,False,TOUCHDOWN
-19.874455,60,46.423343,False,TOUCHDOWN
-15.303083,61,46.635466,False,TOUCHDOWN
-24.664516,60,46.844358,False,TOUCHDOWN
-27.552868,60,47.054095,False,TOUCHDOWN
-25.324101,60,47.264205,False,TOUCHDOWN
-25.55626,60,47.468732,False,TOUCHDOWN
-28.105902,61,47.67928,False,TOUCHDOWN
-25.00836,60,47.885928,False,TOUCHDOWN
-23.791411,60,48.092049,False,TOUCHDOWN
-25.267496,60,48.29859,False,TOUCHDOWN
-23.354201,60,48.506928,False,TOUCHDOWN
-23.062609,60,48.73461,False,TOUCHDOWN
-22.556427,60,48.973363,False,TOUCHDOWN
-28.11211,60,49.199282,False,TOUCHDOWN
-23.674858,60,49.410137,False,TOUCHDOWN
-25.095555,60,49.617042,False,TOUCHDOWN
-27.302452,60,49.828971,False,TOUCHDOWN
-14.014749,60,50.039245,False,TOUCHDOWN
-25.004811,60,50.253126,False,TOUCHDOWN
-29.387812,60,50.46255,False,TOUCHDOWN
-27.197076,60,50.669337,False,TOUCHDOWN
-27.351854,60,50.880789,False,TOUCHDOWN
-28.791316,60,51.124618,False,TOUCHDOWN
-26.343223,59,51.347618,False,TOUCHDOWN
-28.405822,60,51.565746,False,TOUCHDOWN
-27.743923,60,51.777998,False,TOUCHDOWN
-27.807185,60,52.065811,False,TOUCHDOWN
-28.623543,59,52.292132,False,TOUCHDOWN
-24.090909,59,52.50252,False,TOUCHDOWN
-24.648138,60,52.718986,False,TOUCHDOWN
-27.002775,60,52.938358,False,TOUCHDOWN
-27.552424,60,53.15741,False,TOUCHDOWN
-23.590659,59,53.367642,False,TOUCHDOWN
-23.790866,60,53.581934,False,TOUCHDOWN
-27.836022,60,53.7945,False,TOUCHDOWN
-27.106464,60,54.026074,False,TOUCHDOWN
-28.283964,60,54.235248,False,TOUCHDOWN
-28.952796,60,54.446197,False,TOUCHDOWN
-27.060017,60,54.655798,False,TOUCHDOWN
-27.954206,60,54.864312,False,TOUCHDOWN
-28.55758,60,55.074479,False,TOUCHDOWN
-19.11254,60,55.284626,False,TOUCHDOWN
-28.53247,60,55.505232,False,TOUCHDOWN
-26.375444,60,55.719448,False,TOUCHDOWN
-23.908018,60,55.927364,False,TOUCHDOWN
